11,ARZST,CAL,-6,55.5,7,21,10,0,0,17,10,14,6,0
11,CONN,RUTG,3.5,40.5,14,10,16,0,0,0,10,0,12,0
11,GATCH,GEO,4.5,53.5,0,10,0,7,0,7,10,14,0,0
11,NWEST,MCHST,5.5,53,0,3,7,7,0,3,14,7,7,0
11,MICH,OHIST,-8.5,45.5,16,7,7,10,0,7,17,0,10,0
11,SYR,CIN,2,50.5,3,3,7,0,0,0,10,13,7,0
11,OKLA,IOWST,-29,56.5,3,20,0,3,0,6,0,0,0,0
11,SMU,RICE,-13,54,7,7,0,13,0,0,7,10,7,0
11,KENTY,TENN,6,43,3,0,0,7,0,0,0,0,7,0
11,NCST,MD,-11.5,54.5,7,7,7,35,0,14,20,7,0,0
11,WKEN,TROY,-4,51,0,14,13,14,0,0,6,12,0,0
11,BOIST,WYOM,-32,60,0,13,16,7,0,7,0,0,7,0
11,UTAST,NEV,1.5,64,0,7,14,0,0,3,7,7,0,0
11,NCAR,DUKE,-14,55.5,10,10,10,7,0,7,7,7,0,0
11,WFRST,VAN,-1,49,0,7,0,0,0,6,21,7,7,0
11,MINN,ILL,10,44,0,20,7,0,0,0,0,7,0,0
11,IND,PURD,8,58.5,14,3,0,8,0,7,16,0,10,0
11,KANS,MISOU,26,56.5,0,10,0,0,0,0,3,14,7,0
11,MTENN,FLINT,7.5,53.5,0,6,0,12,0,7,7,14,3,0
11,ORE,OREST,-28,63.5,7,21,7,14,0,0,7,0,14,0
11,VIRG,VATCH,4.5,45,0,0,0,0,0,7,7,7,17,0
11,WISC,PENST,-17,49.5,7,21,14,3,0,7,0,0,0,0
11,MARSH,ECAR,-1,56,10,7,3,7,7,14,6,0,7,0
11,AUB,ALAB,21.5,45.5,7,0,7,0,0,14,10,3,15,0
11,ARZ,ULLAF,-13.5,64.5,0,21,10,14,0,7,6,3,21,0
11,FLATL,UAB,3.5,50.5,7,10,7,14,0,7,7,14,7,0
11,LTECH,NMXST,-23,58.5,9,14,21,0,0,0,0,0,0,0
11,SOMIS,MEM,-37,56,10,24,10,0,0,0,0,0,7,0
11,COLST,AIRFC,14,52.5,7,0,7,7,0,0,31,7,7,0
11,MISST,MISS,-17,46.5,14,7,7,3,0,0,0,3,0,0
11,BAY,TXTCH,-12,82,10,21,21,14,0,7,21,7,7,0
11,FLA,FSU,3,44,0,0,0,7,0,7,7,0,7,0
11,WASH,WSHST,-8.5,61.5,14,7,7,10,0,0,14,7,0,0
11,SOCAR,CLEM,-3.5,50.5,10,7,7,10,0,0,10,0,3,0
11,STAN,NOTRE,-7,59.5,7,14,0,7,0,0,0,7,7,0
11,USC ,UCLA ,-16,56.5,14,15,14,7,0,0,0,0,0,0
11,HAW ,TULNE ,-18.5,55,14,7,7,7,0,7,7,2,7,0
11,UNLV ,SDST ,16.5,55,7,7,0,0,0,0,7,10,14,0
11,FRSST ,JST ,-6,64,10,7,0,7,0,7,3,10,7,0
11,NOILL,BALST,-18,71,0,14,14,13,0,14,10,7,7,0
11,BGREN,OHIO,7,59.5,7,7,7,7,0,3,13,3,10,0
11,MIAOH,WMICH,1.5,59,0,14,0,7,0,0,10,7,7,0
11,UAB,SOMIS,23.5,61.5,14,10,0,10,0,14,7,3,7,0
11,VATCH,NCAR,-9.5,47.5,0,10,14,0,0,7,0,0,14,0
11,MEM,MARSH,13.5,50.5,7,6,3,6,0,7,3,0,13,0
11,CMICH,TOL,14.5,73.5,7,3,0,7,0,14,6,10,14,0
11,IOWST,OKLST,26.5,69,0,7,10,7,13,7,10,7,0,7
11,CONN,LOU,-2.5,42,0,10,0,10,0,14,0,7,13,0
11,NWEST,MINN,-16,57.5,21,0,0,7,0,7,3,0,3,0
11,MCHST,IND,-27.5,53,17,17,14,7,0,0,3,0,0,0
11,MICH,NEB,-4,52,10,7,14,14,0,7,3,7,0,0
11,RUTG,CIN,-1,46.5,7,3,7,3,0,3,0,0,0,0
11,ILL,WISC,14,51,0,17,0,0,0,0,7,14,7,0
11,BUFF,AKR,-10.5,45.5,14,16,14,7,0,3,0,0,7,0
11,PURD,IOWA,1.5,49,7,7,0,7,0,14,7,3,7,0
11,TXAM,KANS,-31,65,23,21,17,0,0,0,0,0,7,0
11,GEO,KENTY,-31,49,6,6,0,7,0,3,7,0,0,0
11,DUKE,GATCH,10,56.5,7,7,3,14,0,14,14,3,7,0
11,TEM,ARMY,-11,46.5,14,14,0,14,0,0,0,7,7,0
11,FLA,FUR,-31,,7,20,10,17,0,22,0,10,0,0
11,AUB,SAFRD,-31,,7,7,7,14,0,0,10,3,3,0
11,KENST,EMICH,-3,42,0,14,6,8,0,13,0,6,3,0
11,WYOM,NMEX,-22,50,7,7,3,14,0,0,10,0,0,0
11,ALAB,GESOU,-43,,10,14,14,7,0,0,14,7,0,0
11,WFRST,MD,-9.5,57.5,7,0,10,14,0,0,7,3,0,0
11,MTENN,ARKST,13.5,58.5,2,17,0,0,0,15,10,14,6,0
11,UTEP,TULSA,13,56.5,6,9,0,13,0,14,15,21,7,0
11,TCU,COLST,-34,56.5,6,7,14,7,0,0,3,7,0,0
11,TROY,FLATL,-13.5,50.5,0,17,0,17,0,0,7,0,0,0
11,NCST,CLEM,6.5,53,0,27,10,0,0,3,0,3,7,0
11,OHIST,PENST,-6.5,37.5,0,14,0,0,0,10,10,0,0,0
11,OREST,WASH,-1,56.5,14,3,0,21,0,7,7,0,7,0
11,RICE,TULNE,-14,59,7,3,3,6,0,0,0,0,7,0
11,HOU,SMU,-19.5,74.5,3,10,10,14,0,0,0,0,7,0
11,ARK,MISST,-13.5,54,14,10,10,10,0,3,7,0,7,0
11,SOFLA,MIAMI,-1,53.5,0,3,0,0,0,3,0,0,3,0
11,MISOU,TXTCH,-17.5,66.5,0,10,7,14,0,14,3,10,0,0
11,SJST,NAVY,7,60.5,10,10,0,7,0,0,14,10,0,0
11,NOTRE,BCOLL,-24,46.5,10,3,0,3,0,0,7,0,7,0
11,NEV,LTECH,-7,56,7,0,6,7,0,0,0,3,21,0
11,ULMON,FLINT,-1.5,50,0,10,0,7,0,7,21,0,0,0
11,IDAHO,UTAST,7.5,52,7,3,18,7,7,7,14,7,7,14
11,WSHST,UTAH,4,48.5,0,7,3,17,0,0,7,3,17,3
11,AIRFC,UNLV,-24,55,7,17,14,7,0,3,7,0,7,0
11,NOTEX,WKEN,2,48,7,7,0,7,0,3,14,7,7,0
11,TENN,VAN,-1.5,45.5,7,7,0,7,6,0,7,7,7,0
11,ECAR,CENFL,7,51,10,7,7,14,0,7,10,7,7,0
11,MISS,LSU,31.5,47,0,3,0,0,0,21,14,14,3,0
11,FSU ,VIRG ,-17,46,0,10,3,0,0,0,7,0,7,0
11,UCLA ,COL ,-12.5,56.5,21,0,3,21,0,0,6,0,0,0
11,TEXAS ,KANST ,-7,52,0,3,7,3,0,3,7,7,0,0
11,BAY ,OKLA ,17,74.5,3,14,14,14,0,3,7,14,14,0
11,ORE ,USC ,-15.5,70.5,0,7,13,15,0,7,14,17,0,0
11,SDST ,BOIST ,18,55.5,7,7,0,21,0,21,21,3,7,0
11,STAN ,CAL ,-17.5,57,7,7,14,3,0,10,3,0,15,0
11,ARZST ,ARZ ,-10,70.5,7,14,3,3,0,14,3,0,14,0
11,BYU ,NMXST ,-23,60.5,7,14,14,7,0,0,7,0,0,0
11,HAW ,FRSST ,-4.5,63.5,0,7,14,0,0,10,7,0,7,0
11,BGREN,NOILL,6,67.5,7,7,0,0,0,14,10,7,14,0
11,TOL,WMICH,-12,71,21,7,21,17,0,14,14,14,21,0
11,TEM,MIAOH,-14,44.5,3,14,0,7,0,7,0,7,7,0
11,CMICH,OHIO,7.5,59,7,7,0,14,0,14,3,12,14,0
11,GATCH,VATCH,2,49.5,7,6,13,0,0,0,21,6,10,0
11,TULNE,HOU,34,77.5,0,10,0,7,0,0,35,24,14,0
11,SYR,SOFLA,3,53,0,10,0,7,0,3,17,3,14,0
11,NWEST,RICE,-16.5,69.5,7,14,0,7,0,0,0,0,6,0
11,LOU,PITT,-3,45.5,0,0,7,7,0,7,0,7,7,0
11,MISOU,TEXAS,-1,56,0,14,3,0,0,3,0,2,0,0
11,TULSA,MARSH,-19.5,52,14,28,7,10,0,3,0,14,0,0
11,PENST,NEB,3,43.5,0,0,7,7,0,0,10,7,0,0
11,CLEM,WFRST,-16,62.5,7,7,7,10,0,7,0,21,0,0
11,CIN,WVIRG,-3,68,7,0,7,7,0,7,10,0,7,0
11,IOWA,MCHST,2.5,47,0,7,14,0,0,14,17,3,3,0
11,SOCAR,FLA,-2.5,40.5,0,14,0,3,0,3,0,3,6,0
11,TXTCH,OKLST,19,79,0,0,6,0,0,21,28,14,3,0
11,PURD,OHIST,7.5,45,10,7,0,3,6,0,7,7,6,3
11,VAN,KENTY,-13,44.5,7,17,7,7,0,0,0,8,0,0
11,BCOLL,NCST,1.5,44.5,7,7,0,0,0,3,0,7,0,0
11,EMICH,BUFF,-3.5,50,3,6,14,7,0,0,3,14,0,0
11,TROY,NOTEX,-8,53,7,14,6,6,0,10,14,0,14,0
11,AIRFC,WYOM,-16.5,57.5,7,0,10,0,0,6,6,0,13,0
11,KANS,BAY,19.5,75,3,14,7,0,6,0,3,0,21,7
11,AKR,KENST,6,38.5,3,0,0,0,0,6,3,20,6,0
11,COL,ARZ,11,58.5,7,13,14,14,0,3,7,7,12,0
11,ARKST,ULLAF,-11,56.5,14,6,7,3,0,0,7,14,0,0
11,VIRG,DUKE,-10,53,7,7,17,0,0,0,14,7,0,0
11,UTAST,SJST,-10,52,7,0,14,13,0,20,0,3,10,0
11,KANST,TXAM,5.5,66,0,14,0,17,22,0,14,7,10,19
11,ULMON,MTENN,-6,55.5,21,14,7,0,0,0,7,7,0,0
11,BOIST,TCU,-17,60.5,7,7,14,7,0,7,13,8,8,0
11,ARMY,RUTG,8.5,45,6,0,0,6,0,0,6,7,14,0
11,SMU,NAVY,-8,58.5,0,3,7,7,0,3,7,7,7,0
11,ILL,MICH,-1,48,0,0,7,7,0,7,7,3,14,0
11,FSU,MIAMI,-12.5,51,3,14,3,3,0,0,7,0,12,0
11,GEO,AUB,-11.5,55.5,14,21,3,7,0,7,0,0,0,0
11,MINN,WISC,30,63,0,6,7,0,0,14,14,7,7,0
11,USC,WASH,-12.5,63.5,7,16,14,3,0,0,3,7,7,0
11,MEM,UAB,5,53.5,14,7,14,0,0,3,7,7,24,0
11,FLINT,FLATL,-17,46,10,21,0,10,0,0,0,7,0,0
11,ARK,TENN,-15.5,53,14,7,14,14,0,0,7,0,0,0
11,COLST,SDST,13,53.5,7,0,0,8,0,8,7,0,3,0
11,CAL,OREST,-8,52,7,7,6,3,0,3,3,0,0,0
